fifty_periods,main_place_slave_purch,purch_lat,purch_long,slaves_embarked
1500-1550,"Africa., port unspecified",5.1036,-1.2411,733
1500-1550,Albreda,13.3378,-16.3861,759
1500-1550,Cape Verde Islands,16.54,-23.04,23860
1500-1550,Congo River,-6.07,12.45,983
1500-1550,"Gold Coast, Fr. definition",5.1761,-1.1233,359
1500-1550,Portuguese Guinea,11,-10,324
1500-1550,São Tomé,0.34523,6.7371,2513
1500-1550,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,363
1550-1600,"Africa., port unspecified",5.1036,-1.2411,88867
1550-1600,Albreda,13.3378,-16.3861,359
1550-1600,Cape Verde Islands,16.54,-23.04,76953
1550-1600,Congo River,-6.07,12.45,413
1550-1600,"Gold Coast, Fr. definition",5.1761,-1.1233,359
1550-1600,Portuguese Guinea,11,-10,27971
1550-1600,Princes Island and Elmina,5.1053,-1.3421,709
1550-1600,Rio Grande,-32.0395,-52.1014,364
1550-1600,"Sierra Leone, port unspecified",8.57,-13.03,1408
1550-1600,St. Paul de Loanda,-8.80407,13.2333,3014
1550-1600,São Tomé,0.34523,6.7371,9862
1550-1600,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,30840
1600-1650,Accra,5.55,-0.02,213
1600-1650,"Africa., port unspecified",5.1036,-1.2411,71174
1600-1650,Ardra,6.379,2.451324,9494
1600-1650,"Bight of Benin, port unspecified",5,2.1,361
1600-1650,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,3480
1600-1650,Cacheu,12,-16.1667,6580
1600-1650,Calabar,4.982,8.3345,8921
1600-1650,Cap Lopez,-0.7726,8.7812,313
1600-1650,Cape Verde Islands,16.54,-23.04,16931
1600-1650,Coanza River,-9.35,13.15,381
1600-1650,Gambia,13.4432,-15.3101,607
1600-1650,Gold Coast + Bight of Benin + Bight of Biafra,5.1761,-1.1233,2698
1600-1650,"Gold Coast, port unspecified",5.1036,-1.2411,299
1600-1650,Gulf of Guinea islands,1.6139,7.4057,256
1600-1650,Loango,-4.4925,11.2558,139
1600-1650,Mpinda,-6.141,12.3521,411
1600-1650,Portuguese Guinea,11,-10,24962
1600-1650,Princes Island,18.58,-72.33,300
1600-1650,Rio Forcados,5.305,6.4167,404
1600-1650,Rio Grande,-32.0395,-52.1014,834
1600-1650,River del Rey,4.5352,8.7426,1127
1600-1650,Sierra Leone estuary,8.48444,-13.23444,90
1600-1650,St. Paul de Loanda,-8.80407,13.2333,151609
1600-1650,São Tomé,0.34523,6.7371,10363
1600-1650,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,102641
1650-1700,Accra,5.55,-0.02,1316
1650-1700,"Africa., port unspecified",5.1036,-1.2411,144148
1650-1700,Alampo,5.102,-1.2388,1024
1650-1700,Albreda,13.3378,-16.3861,316
1650-1700,"Anomabu, Adja, Agga",5.1761,-1.1233,581
1650-1700,Ardra,6.379,2.451324,66194
1650-1700,Arguim,20.89894,-17.05258,339
1650-1700,Axim,4.8665,-2.2409,338
1650-1700,Bance Island (Ben's Island),8.5667,-13.033,77
1650-1700,Benguela,-12.59,13.42,118
1650-1700,"Bight of Benin, port unspecified",5,2.1,10317
1650-1700,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,11552
1650-1700,Bights,2.8333,8,1015
1650-1700,Bissau,11.86113,-15.5859,948
1650-1700,Boary,-4.49257,11.25584,1929
1650-1700,Bonny,4.4142,7.1898,1977
1650-1700,Cabinda,-5.57,12.2,3036
1650-1700,Cacheu,12,-16.1667,4790
1650-1700,Calabar,4.982,8.3345,25394
1650-1700,Cameroons River,4.0833,9.7,272
1650-1700,Cap Lopez,-0.7726,8.7812,509
1650-1700,Cape Coast Castle,5.1,-1.24,6095
1650-1700,Cape Mount (Cape Grand Mount),7.133,-11.05,316
1650-1700,Cape Verde Islands,16.54,-23.04,5477
1650-1700,Congo North,-4.769,11.866,26539
1650-1700,Congo River,-6.07,12.45,1043
1650-1700,Corisco,0.9167,9.3167,804
1650-1700,Costa da Mina,5.0827,-1.348,39936
1650-1700,Danish Gold Coast,5.5469,-0.1833,1665
1650-1700,Elmina,5.1053,-1.3421,7263
1650-1700,Gabon,-0.8037,11.6094,408
1650-1700,Gambia,13.4432,-15.3101,14201
1650-1700,Gold Coast from Kormatine to Accra,5.1761,-1.1233,408
1650-1700,"Gold Coast, Fr. definition",5.1761,-1.1233,948
1650-1700,"Gold Coast, port unspecified",5.1036,-1.2411,35867
1650-1700,Grand Popo,6.2639,1.7417,467
1650-1700,Ivory Coast,7.54,-5.5471,180
1650-1700,Keta,5.9031,0.9868,230
1650-1700,Little Popo,6.2273,1.5814,910
1650-1700,Loango,-4.4925,11.2558,17096
1650-1700,Madagascar,-25.033,46.9833,10455
1650-1700,Malembo,-5.3384,12.1876,2723
1650-1700,Mozambique,-17.74087,35.3777,1064
1650-1700,Mpinda,-6.141,12.3521,1864
1650-1700,New Calabar,4.5502,6.9783,22289
1650-1700,Popo,6.2833,1.833,1614
1650-1700,Portuguese Guinea,11,-10,395
1650-1700,Princes Island,18.58,-72.33,2755
1650-1700,Rio Forcados,5.305,6.4167,840
1650-1700,River del Rey,4.5352,8.7426,1922
1650-1700,Sassandra,4.9513,-6.0918,145
1650-1700,Senegal,14.72,-17.47,4794
1650-1700,Sherbro,7.31,-12.3,277
1650-1700,Sierra Leone estuary,8.48444,-13.23444,2436
1650-1700,Soyo,-6.141,12.3521,146
1650-1700,St. Paul de Loanda,-8.80407,13.2333,32262
1650-1700,São Tomé,0.34523,6.7371,4977
1650-1700,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,42469
1650-1700,Whydah,6.363,2.085,49665
1700-1750,Accra,5.55,-0.02,3402
1700-1750,"Africa., port unspecified",5.1036,-1.2411,611051
1700-1750,Alampo,5.102,-1.2388,590
1700-1750,Andony,17.0747,-61.8175,127
1700-1750,"Anomabu, Adja, Agga",5.1761,-1.1233,44419
1700-1750,Ardra,6.379,2.451324,1369
1700-1750,Axim,4.8665,-2.2409,1067
1700-1750,Badagry,6.415,2.88,9374
1700-1750,Banana Islands,8.1159,-13.2115,1080
1700-1750,Bance Island (Ben's Island),8.5667,-13.033,786
1700-1750,Benguela,-12.59,13.42,9219
1700-1750,Benin,6.379,2.4513,4777
1700-1750,"Bight of Benin, port unspecified",5,2.1,15884
1700-1750,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,10763
1700-1750,Bights,2.8333,8,179
1700-1750,Bissau,11.86113,-15.5859,1464
1700-1750,Boary,-4.49257,11.25584,2688
1700-1750,Bonny,4.4142,7.1898,39972
1700-1750,Cabinda,-5.57,12.2,40515
1700-1750,Cabo Lopo Gonçalves,-0.7726,8.7812,310
1700-1750,Cacheu,12,-16.1667,6831
1700-1750,Calabar,4.982,8.3345,58509
1700-1750,Cap Lopez,-0.7726,8.7812,855
1700-1750,Cape Coast Castle,5.1,-1.24,33000
1700-1750,Cape Lahou,5.1365,-5.026,6841
1700-1750,Cape Mount (Cape Grand Mount),7.133,-11.05,1013
1700-1750,Cape Verde Islands,16.54,-23.04,1701
1700-1750,Chama,-11.2167,33.1605,271
1700-1750,Christiansborg,5.5469,-0.1833,5024
1700-1750,Congo North,-4.769,11.866,26007
1700-1750,Congo River,-6.07,12.45,368
1700-1750,Costa da Mina,5.0827,-1.348,287618
1700-1750,Elmina,5.1053,-1.3421,62134
1700-1750,Epe,6.6055,3.947,11445
1700-1750,Formosa,-26.1775,-58.178,377
1700-1750,Gabon,-0.8037,11.6094,1261
1700-1750,Galam,32.4612,35.0211,100
1700-1750,Gallinhas,11.4667,-15.6833,843
1700-1750,Gambia,13.4432,-15.3101,35678
1700-1750,Gold Coast east of Kormantine,5.1761,-1.1233,4324
1700-1750,"Gold Coast, Fr. definition",5.1761,-1.1233,3874
1700-1750,"Gold Coast, port unspecified",5.1036,-1.2411,98509
1700-1750,Grand Bassam,5.2259,-3.7537,627
1700-1750,Grand Mesurado,6.2945,-10.7452,976
1700-1750,Grand Popo,6.2639,1.7417,765
1700-1750,Ivory Coast,7.54,-5.5471,527
1700-1750,Keta,5.9031,0.9868,1817
1700-1750,Little Popo,6.2273,1.5814,10818
1700-1750,Loango,-4.4925,11.2558,34504
1700-1750,Madagascar,-25.033,46.9833,7634
1700-1750,Madeira,32.76,16.96,414
1700-1750,Malembo,-5.3384,12.1876,18921
1700-1750,Mano,6.9295,-11.5007,240
1700-1750,Mayumba,-3.4259,10.6567,546
1700-1750,Mozambique,-17.74087,35.3777,1229
1700-1750,New Calabar,4.5502,6.9783,4087
1700-1750,Pokesoe (formerly Gross Friedrichsburg),4.7956,-2.134,1220
1700-1750,Popo,6.2833,1.833,1638
1700-1750,Princes Island,18.58,-72.33,7238
1700-1750,Rio Assini,5.1167,-3.2833,301
1700-1750,Sassandra,4.9513,-6.0918,495
1700-1750,Senegal,14.72,-17.47,15118
1700-1750,Sherbro,7.31,-12.3,1052
1700-1750,Sierra Leone estuary,8.48444,-13.23444,5532
1700-1750,"Sierra Leone, port unspecified",8.57,-13.03,851
1700-1750,"Southeast Africa and Indian Ocean islands, port unspecified",-18.7669,46.8691,59
1700-1750,St. Paul,-21.0453,55.3365,196
1700-1750,St. Paul de Loanda,-8.80407,13.2333,263013
1700-1750,São Tomé,0.34523,6.7371,12041
1700-1750,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,95960
1700-1750,West of Cape Apolonia,4.9885,-2.5904,1636
1700-1750,Whydah,6.363,2.085,201481
1700-1750,Windward + Ivory + Gold +  Benin,5.1761,-1.1233,11204
1700-1750,Windward Coast (Nunez - Assini),12.185,-68.987,459
1700-1750,"Windward Coast, port unspecified",12.185,-68.987,6075
1750-1800,Accra,5.55,-0.02,8042
1750-1800,"Africa., port unspecified",5.1036,-1.2411,342731
1750-1800,Albreda,13.3378,-16.3861,154
1750-1800,Ambriz,-7.8499,13.1167,14795
1750-1800,Andony,17.0747,-61.8175,276
1750-1800,"Anomabu, Adja, Agga",5.1761,-1.1233,122957
1750-1800,Apollonia,4.9885,-2.5904,352
1750-1800,Ardra,6.379,2.451324,2676
1750-1800,Axim,4.8665,-2.2409,496
1750-1800,Badagry,6.415,2.88,27942
1750-1800,Banana Islands,8.1159,-13.2115,4725
1750-1800,Bance Island (Ben's Island),8.5667,-13.033,12351
1750-1800,Bassa,7.7702,7.0498,23901
1750-1800,Benguela,-12.59,13.42,119283
1750-1800,Benin,6.379,2.4513,29463
1750-1800,"Bight of Benin, port unspecified",5,2.1,24933
1750-1800,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,46193
1750-1800,Bights,2.8333,8,267
1750-1800,Bimbia,4.066,9.4,1124
1750-1800,Bissagos,11.25,-16.083,527
1750-1800,Bissau,11.86113,-15.5859,31185
1750-1800,Boary,-4.49257,11.25584,1779
1750-1800,Bonny,4.4142,7.1898,281425
1750-1800,C.C. Castle and Windward,12.185,-68.987,167
1750-1800,Cabinda,-5.57,12.2,48948
1750-1800,Cacheu,12,-16.1667,20274
1750-1800,Calabar,4.982,8.3345,132041
1750-1800,Cameroons,4.0449,9.6855,22621
1750-1800,Cameroons River,4.0833,9.7,3010
1750-1800,Cap Lopez,-0.7726,8.7812,1869
1750-1800,Cape Coast Castle,5.1,-1.24,67962
1750-1800,Cape Lahou,5.1365,-5.026,20480
1750-1800,Cape Mount (Cape Grand Mount),7.133,-11.05,32813
1750-1800,Cape Verde Islands,16.54,-23.04,1780
1750-1800,Cape of Good Hope,-34.21,18.28,258
1750-1800,Casamance,13.0153,-15.3177,489
1750-1800,Christiansborg,5.5469,-0.1833,9242
1750-1800,Congo North,-4.769,11.866,28834
1750-1800,Congo River,-6.07,12.45,15512
1750-1800,Costa da Mina,5.0827,-1.348,206047
1750-1800,Côte de Malaguette (runs through to Cape Palmas on Windward Coast),12.185,-68.987,42
1750-1800,Danish Gold Coast,5.5469,-0.1833,7725
1750-1800,Delagoa,-26.0828,32.7633,453
1750-1800,Dembia,12.4099,37.2544,147
1750-1800,Elmina,5.1053,-1.3421,23372
1750-1800,Epe,6.6055,3.947,13220
1750-1800,Fernando Po,3.6198,8.7481,29
1750-1800,Gabon,-0.8037,11.6094,17421
1750-1800,Galam,32.4612,35.0211,743
1750-1800,Gallinhas,11.4667,-15.6833,1690
1750-1800,Gambia,13.4432,-15.3101,67192
1750-1800,Garroway Roads,4.56,-7.91571,148
1750-1800,Gold Coast + Bight of Benin + Bight of Biafra,5.1761,-1.1233,333
1750-1800,Gold Coast east of Kormantine,5.1761,-1.1233,1670
1750-1800,"Gold Coast, Fr. definition",5.1761,-1.1233,53460
1750-1800,"Gold Coast, port unspecified",5.1036,-1.2411,120714
1750-1800,Grand Bassam,5.2259,-3.7537,101
1750-1800,Grand Mesurado,6.2945,-10.7452,1818
1750-1800,Grenada Point,12.104818,-61.67,310
1750-1800,Ibo,-12.3448,40.5891,820
1750-1800,Iles Plantain,0.255436,6.602781,345
1750-1800,Iles de Los,9.4769,-13.7855,42004
1750-1800,Ivory Coast,7.54,-5.5471,514
1750-1800,"Joal, or Saloum River",14.1812,-16.8503,17
1750-1800,Keta,5.9031,0.9868,107
1750-1800,Kilwa,-8.9659,39.4971,4086
1750-1800,"Lagos, Onim",37.1,-8.67,13183
1750-1800,Little Popo,6.2273,1.5814,1937
1750-1800,Loango,-4.4925,11.2558,46795
1750-1800,Lourenço Marques,-25.9692,32.5732,386
1750-1800,Madagascar,-25.033,46.9833,772
1750-1800,Malembo,-5.3384,12.1876,105186
1750-1800,Mano,6.9295,-11.5007,622
1750-1800,Mascarene Islands,-20.7167,56.6167,696
1750-1800,Mauritius (Ile de France),-20.3484,57.5522,92
1750-1800,Mayumba,-3.4259,10.6567,1520
1750-1800,Momboza or Zanzibar,-6.1563,39.1927,476
1750-1800,Mozambique,-17.74087,35.3777,37722
1750-1800,New Calabar,4.5502,6.9783,53860
1750-1800,Popo,6.2833,1.833,10180
1750-1800,Porto Novo,6.4969,2.6289,45832
1750-1800,Portuguese Guinea,11,-10,649
1750-1800,Princes Island,18.58,-72.33,3843
1750-1800,Quaqua,-28.5011,28.7719,175
1750-1800,Quilimane,-17.85,36.92,201
1750-1800,Quirimba,-12.4264,40.6069,504
1750-1800,Rio Nunez,10.833,-14.533,1985
1750-1800,Rio Pongo,10.05,-14.065,815
1750-1800,River del Rey,4.5352,8.7426,270
1750-1800,Scarcies,8.48444,-13.23444,157
1750-1800,Senegal,14.72,-17.47,38285
1750-1800,Sherbro,7.31,-12.3,3309
1750-1800,Sierra Leone estuary,8.48444,-13.23444,72983
1750-1800,"Sierra Leone, port unspecified",8.57,-13.03,1254
1750-1800,Sofala,-19,34.75,352
1750-1800,"Southeast Africa and Indian Ocean islands, port unspecified",-18.7669,46.8691,3012
1750-1800,St. Paul,-21.0453,55.3365,287
1750-1800,St. Paul de Loanda,-8.80407,13.2333,396787
1750-1800,São Tomé,0.34523,6.7371,5605
1750-1800,São Tomé or Princes Island,0.34523,6.7371,1165
1750-1800,Tabou,5.1012,-7.3517,358
1750-1800,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,304972
1750-1800,West of Cape Apolonia,4.9885,-2.5904,212
1750-1800,Whydah,6.363,2.085,107466
1750-1800,Windward + Ivory + Gold +  Benin,5.1761,-1.1233,43031
1750-1800,Windward Coast (Nunez - Assini),12.185,-68.987,16525
1750-1800,"Windward Coast, port unspecified",12.185,-68.987,77460
1800-1850,Accra,5.55,-0.02,4469
1800-1850,"Africa., port unspecified",5.1036,-1.2411,747196
1800-1850,Ambriz,-7.8499,13.1167,77518
1800-1850,"Anomabu, Adja, Agga",5.1761,-1.1233,3345
1800-1850,Badagry,6.415,2.88,6925
1800-1850,Bance Island (Ben's Island),8.5667,-13.033,2233
1800-1850,Bassa,7.7702,7.0498,2413
1800-1850,Benguela,-12.59,13.42,235553
1800-1850,Benin,6.379,2.4513,1823
1800-1850,"Bight of Benin, port unspecified",5,2.1,18521
1800-1850,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",2.833,8,10515
1800-1850,Bights,2.8333,8,4043
1800-1850,Bimbia,4.066,9.4,1269
1800-1850,Bissagos,11.25,-16.083,837
1800-1850,Bissau,11.86113,-15.5859,25746
1800-1850,Bonny,4.4142,7.1898,110021
1800-1850,Cabinda,-5.57,12.2,265904
1800-1850,Cacheu,12,-16.1667,11973
1800-1850,Calabar,4.982,8.3345,44890
1800-1850,Cameroons,4.0449,9.6855,8981
1800-1850,Cameroons River,4.0833,9.7,6962
1800-1850,Cap Lopez,-0.7726,8.7812,6623
1800-1850,Cape Coast Castle,5.1,-1.24,9913
1800-1850,Cape Lahou,5.1365,-5.026,1052
1800-1850,Cape Mount (Cape Grand Mount),7.133,-11.05,7805
1800-1850,Cape Verde Islands,16.54,-23.04,7904
1800-1850,Cape of Good Hope,-34.21,18.28,788
1800-1850,Casamance,13.0153,-15.3177,350
1800-1850,Christiansborg,5.5469,-0.1833,1818
1800-1850,Coanza River,-9.35,13.15,884
1800-1850,Congo North,-4.769,11.866,7658
1800-1850,Congo River,-6.07,12.45,70280
1800-1850,Corisco,0.9167,9.3167,675
1800-1850,Costa da Mina,5.0827,-1.348,114577
1800-1850,Costa de Africa (mainland coast around S Tome/Principe),0.34523,6.7371,362
1800-1850,Côte de Malaguette (runs through to Cape Palmas on Windward Coast),12.185,-68.987,542
1800-1850,Elmina,5.1053,-1.3421,1008
1800-1850,Formosa,-26.1775,-58.178,158
1800-1850,French Africa (Goree or Senegal),14.6679,-17.3989,248
1800-1850,Gabon,-0.8037,11.6094,14348
1800-1850,Galam,32.4612,35.0211,67
1800-1850,Gallinhas,11.4667,-15.6833,38397
1800-1850,Gambia,13.4432,-15.3101,6580
1800-1850,"Gold Coast, Fr. definition",5.1761,-1.1233,530
1800-1850,"Gold Coast, port unspecified",5.1036,-1.2411,38994
1800-1850,Grand Bassa,6.233,-9.833,1186
1800-1850,Grand Mesurado,6.2945,-10.7452,2385
1800-1850,Ife,7.4905,4.5521,507
1800-1850,Iles Plantain,0.255436,6.602781,158
1800-1850,Iles de Los,9.4769,-13.7855,4468
1800-1850,Inhambane,-23.86723,35.37964,10504
1800-1850,Keta,5.9031,0.9868,397
1800-1850,Kilwa,-8.9659,39.4971,1836
1800-1850,"Lagos, Onim",37.1,-8.67,71322
1800-1850,Little Bassa,6.025,-10.2099,187
1800-1850,Little Popo,6.2273,1.5814,3
1800-1850,Loango,-4.4925,11.2558,16296
1800-1850,Lourenço Marques,-25.9692,32.5732,9575
1800-1850,Madagascar,-25.033,46.9833,8835
1800-1850,Malembo,-5.3384,12.1876,66768
1800-1850,Mayumba,-3.4259,10.6567,724
1800-1850,Momboza or Zanzibar,-6.1563,39.1927,929
1800-1850,Mozambique,-17.74087,35.3777,165412
1800-1850,New Calabar,4.5502,6.9783,10733
1800-1850,Popo,6.2833,1.833,6530
1800-1850,Porto Novo,6.4969,2.6289,7075
1800-1850,Portuguese Guinea,11,-10,1374
1800-1850,Princes Island,18.58,-72.33,18590
1800-1850,Quicombo,-11.433,14,718
1800-1850,Quilimane,-17.85,36.92,112573
1800-1850,Rio Nunez,10.833,-14.533,1991
1800-1850,Rio Pongo,10.05,-14.065,17734
1800-1850,Rio Zaire,-6.07416,12.4499982,2542
1800-1850,River Brass,4.317,6.224,4320
1800-1850,Salinas,36.6778,-121.655,572
1800-1850,Senegal,14.72,-17.47,10391
1800-1850,Senegambia or Sierra Leone,8.4844,-13.2344,825
1800-1850,Sherbro,7.31,-12.3,6866
1800-1850,Sierra Leone estuary,8.48444,-13.23444,7012
1800-1850,"Sierra Leone, port unspecified",8.57,-13.03,5383
1800-1850,Sofala,-19,34.75,1140
1800-1850,"Southeast Africa and Indian Ocean islands, port unspecified",-18.7669,46.8691,6100
1800-1850,St. Paul de Loanda,-8.80407,13.2333,552556
1800-1850,São Tomé,0.34523,6.7371,41593
1800-1850,São Tomé or Princes Island,0.34523,6.7371,17712
1800-1850,Trade Town,5.7844,-9.8463,13
1800-1850,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,85203
1800-1850,Whydah,6.363,2.085,41621
1800-1850,Windward + Ivory + Gold +  Benin,5.1761,-1.1233,1076
1800-1850,Windward Coast (Nunez - Assini),12.185,-68.987,7206
1800-1850,"Windward Coast, port unspecified",12.185,-68.987,5495
1800-1850,Zanzibar,-6.1563,39.1927,3419
1850-1900,"Africa., port unspecified",5.1036,-1.2411,143986
1850-1900,Ambriz,-7.8499,13.1167,9664
1850-1900,Benguela,-12.59,13.42,9544
1850-1900,"Bight of Benin, port unspecified",5,2.1,2693
1850-1900,Cabinda,-5.57,12.2,10365
1850-1900,Cap Lopez,-0.7726,8.7812,284
1850-1900,Congo North,-4.769,11.866,3150
1850-1900,Congo River,-6.07,12.45,45814
1850-1900,Gallinhas,11.4667,-15.6833,1219
1850-1900,Ibo,-12.3448,40.5891,1236
1850-1900,Inhambane,-23.86723,35.37964,1000
1850-1900,Keta,5.9031,0.9868,1171
1850-1900,Kilongo,-5.5032,24.1272,2946
1850-1900,"Lagos, Onim",37.1,-8.67,3672
1850-1900,Loango,-4.4925,11.2558,2747
1850-1900,Malembo,-5.3384,12.1876,1114
1850-1900,Mozambique,-17.74087,35.3777,9030
1850-1900,New Calabar,4.5502,6.9783,154
1850-1900,Popo,6.2833,1.833,1093
1850-1900,Porto Novo,6.4969,2.6289,565
1850-1900,Quicombo,-11.433,14,307
1850-1900,Quilimane,-17.85,36.92,4643
1850-1900,Quirimba,-12.4264,40.6069,846
1850-1900,Rio Pongo,10.05,-14.065,489
1850-1900,River Brass,4.317,6.224,673
1850-1900,Sherbro,7.31,-12.3,612
1850-1900,St. Paul de Loanda,-8.80407,13.2333,623
1850-1900,"West Central Africa and St. Helena, port unspecified",-3.4426,10.6563,949
1850-1900,Whydah,6.363,2.085,7917
